date,die_number,production_number,pressing_type,billet_size,billet_length,billet_quantity
ì˙ït,å^î‘,ïiî‘,éÌï ,ÉrÉåÉbÉgÉTÉCÉY,ÉrÉåÉbÉgí∑Ç≥,ÉrÉåÉbÉgêî
2021-08-26,CUJ12A-V01D,CUJ12A-AD252-20K,ÅZ,9,600,1
2021-08-26,MSQ30B2-V01D,P6260301-D,ÅZ,9,1200,1
2021-08-26,MSQ50B2-V01D,P6260401-D,ÅZ,9,1200,1
2021-08-26,XLA25B2-V01B,XLA25-1B-S,Åú,9,1200,14
2021-08-26,CQ50T-V01B,C2Q50-04-J0781-K,ÅZ,9,1200,1
2021-08-26,SY50MP-V01D,SY50M-20-E-1,ÅZ,9,1200,3
2021-08-27,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-08-27,CQ50T-V01B,C2Q50-04-J0781-K,ÅZ,9,1200,3
2021-08-27,MXS06TB-V01D,P3800102-M-1,Åú,9,600,14
2021-08-27,SY70M-V01B,SY7000-20-1,ÅZ,9,1200,1
2021-08-27,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-08-28,CUJ12A-V01D,CUJ12A-AD252-20K,ÅZ,9,600,1
2021-08-28,XLA25B2-V01B,XLA25-1B-S,Åú,9,1200,12
2021-08-30,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-08-30,MXS16TB-V01D,P3800402-M-2,Åú,9,600,14
2021-08-30,MXS20TB-V01D,P3800502-M-2,Åú,9,1200,17
2021-08-30,SY50MP-V01D,SY50M-20-E-1,ÅZ,9,1200,2
2021-08-31,CUJ12A-V01D,CUJ12A-AD252-20K,ÅZ,9,600,1
2021-08-31,SY70M-V01B,SY7000-20-1,ÅZ,9,1200,1
2021-08-31,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-08-31,MXS12TB-V01D,P3800302-M-1,Åú,9,600,10
2021-08-31,MXS25TB-V01D,P3800602-M-2,Åú,9,1200,9
2021-08-31,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-09-01,MSQ10B2-V01D,P6260101-D,ÅZ,9,1200,1
2021-09-01,MSQ30B2-V01D,P6260301-D,ÅZ,9,1200,1
2021-09-01,CQ50T-V01B,C2Q50-04-J0781-K,ÅZ,9,1200,2
2021-09-01,XLA25B2-V01B,XLA25-1B-S,Åú,9,1200,20
2021-09-03,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-09-03,SY50MP-V01D,SY50M-20-E-1,Åù,9,1200,6
2021-09-03,MXS16TB-V01D,P3800402-M-2,Åú,9,600,20
2021-09-04,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-09-04,CQ63T-V02C,C2Q63-04-J0782AK,ÅZ,9,1200,1
2021-09-06,MSQ50B2-V01D,P6260401-D,ÅZ,9,1200,1
2021-09-06,MXS08TB-V01D,P3800202-M-1,Åú,9,600,22
2021-09-06,MXS12TB-V01D,P3800302-M-1,Åú,9,600,20
2021-09-07,SY30MP-V01D,SY30M-20-E-1,Åù,9,1200,5
2021-09-08,CRQ15B-V01C,P4730002#1,ÅZ,9,600,1
2021-09-08,CRQ20B-V01D,P4730003#1,ÅZ,9,1200,1
2021-09-08,SY30M-V01B,SY3000-20-1,Åú,9,1200,11
2021-09-08,MXS16TB-V01D,P3800402-M-2,Åú,9,600,15
2021-09-09,MSQ50B2-V01D,P6260401-D,ÅZ,9,1200,1
2021-09-09,CQ63T-V01C,C2Q63-04-J0782AK,ÅZ,9,1200,1
2021-09-09,SY30M-V01B,SY3000-20-1,Åú,9,1200,6
2021-09-10,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-09-10,CRQ30B-V01D,P4730004#1,ÅZ,9,1200,1
2021-09-10,CRQ40B-V01D,P4730005#2,ÅZ,9,1200,1
2021-09-11,MXW16B-V01D,P3801001-M,ÅZ,9,1200,1
2021-09-11,MXW20B-V01D,P3801101-M,ÅZ,9,1200,1
2021-09-11,XLA40B2-V01B,XLA40-1B-S,ÅZ,9,1200,2
2021-09-11,MXS12TB-V01D,P3800302-M-1,Åú,9,600,24
2021-09-13,CRQ20B-V01D,P4730003#1,ÅZ,9,1200,1
2021-09-13,APT6-V01B,APTE00-96000150-D,ÅZ,9,1200,1
2021-09-13,MXS16TB-V01D,P3800402-M-2,Åú,9,600,6
2021-09-14,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-09-15,CUJ20A-V01D,CUJ20A-AD254-20K,ÅZ,9,600,1
2021-09-15,MSQ20B2-V01D,P6260201-D,ÅZ,9,1200,1
2021-09-15,CRQ30B-V01D,P4730004#1,ÅZ,9,1200,1
2021-09-15,MSQ50B2-V01D,P6260401-D,ÅZ,9,1200,1
